addr	name	size
0x14145535c	start	64
0x140001000	__ImageBase	79
0x1400010a0	__imp_CredFree	88
0x1400011a1	sub_1400011a1	16
0x1400011c0	__imp_fmaf	20
0x140001420	yara_x::wasm::export__uint16	23
0x1400014d0	__imp_DeleteFileW	26
0x140001500	__imp_GetCurrentProcessId	80
0x140001700	__imp_GetWindowsDirectoryW	25
0x140001770	__imp_GetBinaryTypeW	59
0x1400018a0	__imp_UiaGetReservedMixedAttributeValue	30
0x140001970	__imp_SetActiveWindow	187
0x140001ae0	__imp_RegisterClipboardFormatW	283
0x140001cb0	__real@3e800000	278
0x140001e80	__real@3f28f5c3	88
0x140001f81	sub_140001f81	18
0x140001fa0	__xmm@3f8000003f0ccccd3f4000003ee38e39	110
0x140002010	__real@40e00000	131
0x140002390	__xmm@00000000000000003f3333333ea8f5c3	407
0x140002600	__xmm@00000000000000003f19999a3ea8f5c3	166
0x1400029b4	sub_1400029b4	92
0x140002a13	sub_140002a13	75
0x140002d60	_real	154
0x140003170	__xmm@5420726f74616e696d6f4420776f6853	254
0x140003400	_xmm	171
0x1400035f0	__xmm@00000000000000120000000000000010	23
0x1400037ef	sub_1400037ef	23
0x140003820	__xmm@3f8000003da3d70a3df5c28f3f200000	180
0x1400038e0	__xmm@3f8000003f59999a3f3333333f19999a	326
0x140004170	__xmm@00000000000000003e99999a3ecccccd	1730
0x140004870	__xmm@00000000000000003d23d70a3e99999a	264
0x140004da1	sub_140004da1	473
0x140005710	__xmm@000000000000ffff0000000000000fc6	449
0x14000598f	sub_14000598f	175
0x140005a90	__xmm@00000002000000020000000200000002	154
0x140005cb0	__xmm@00000002000000010000000000000000	245
0x140006156	sub_140006156	438
0x140006340	__xmm@3fd1ad00f8f0071c3fa13a5885d57ece	108
0x1400072a0	__xmm@66696c706d6953636961726265676c41	750
0x1400075d0	__xmm@72016101630173017501660162014f01	92
0x1400084d0	__real@3fc45f306dc9c883	136
0x140008e80	__xmm@ffffcf18ffffcf3cffffcf56ffffcf63	435
0x14000c7c0	sub_14000c7c0	759
0x14000cae0	sub_14000cae0	201
0x14000e380	sub_14000e380	315
0x14000eab0	sub_14000eab0	106
0x14000ee60	sub_14000ee60	111
0x14000f630	sub_14000f630	1592
0x14000fca0	sub_14000fca0	708
0x14000ff90	sub_14000ff90	2149
0x140010830	sub_140010830	703
0x140010b10	sub_140010b10	53
0x140010b50	sub_140010b50	203
0x140010c90	sub_140010c90	287
0x140010ed0	sub_140010ed0	164
0x1400113f0	sub_1400113f0	1737
0x140011bd0	sub_140011bd0	1019
0x140012010	sub_140012010	5925
0x140013740	sub_140013740	1569
0x140013dd0	sub_140013dd0	135
0x140014300	sub_140014300	147
0x1400143af	sub_1400143af	2424
0x140014e92	sub_140014e92	53
0x140015026	sub_140015026	229
0x140015310	sub_140015310	551
0x140015b20	sub_140015b20	133
0x140015c59	sub_140015c59	105
0x140015ce0	sub_140015ce0	192
0x140017250	sub_140017250	672
0x140017960	sub_140017960	1894
0x140018130	sub_140018130	1095
0x140018920	sub_140018920	1040
0x140018d80	sub_140018d80	1141
0x140019480	sub_140019480	84
0x1400197d0	sub_1400197d0	625
0x140019b20	sub_140019b20	166
0x140019f38	sub_140019f38	139
0x14001a191	sub_14001a191	240
0x14001a458	sub_14001a458	407
0x14001a878	sub_14001a878	386
0x14001aea0	sub_14001aea0	151
0x14001b413	sub_14001b413	343
0x14001b57a	sub_14001b57a	172
0x14001b636	sub_14001b636	487
0x14001bb60	sub_14001bb60	279
0x14001bcb0	sub_14001bcb0	504
0x14001beb0	sub_14001beb0	118
0x14001c2c0	sub_14001c2c0	644
0x14001c560	sub_14001c560	590
0x14001c8b0	sub_14001c8b0	198
0x14001e200	sub_14001e200	60
0x14001e240	sub_14001e240	106
0x14001e33d	sub_14001e33d	28
0x14001e400	sub_14001e400	361
0x14001e7c9	sub_14001e7c9	3201
0x14001f720	sub_14001f720	150
0x14001f870	sub_14001f870	2748
0x1400206b0	sub_1400206b0	1184
0x140020b90	sub_140020b90	183
0x140020e40	sub_140020e40	484
0x140021160	sub_140021160	120
0x140021a00	sub_140021a00	208
0x140021ad0	sub_140021ad0	51
0x140024d10	sub_140024d10	1087
0x1400251a0	sub_1400251a0	116
0x140026080	sub_140026080	138
0x140026181	sub_140026181	215
0x140026480	sub_140026480	251
0x140026680	sub_140026680	869
0x1400269f0	sub_1400269f0	200
0x140026b40	sub_140026b40	250
0x140026e40	sub_140026e40	205
0x140026f90	sub_140026f90	248
0x140027200	sub_140027200	162
0x140028190	sub_140028190	155
0x1400283b0	sub_1400283b0	1647
0x140029450	sub_140029450	267
0x140029730	sub_140029730	1132
0x140029bd0	sub_140029bd0	153
0x14002a570	sub_14002a570	1693
0x14002ad40	sub_14002ad40	101
0x14002b8c0	sub_14002b8c0	259
0x14002bbe0	sub_14002bbe0	85
0x14002c2e0	sub_14002c2e0	109
0x14002d1f0	sub_14002d1f0	6962
0x14002ed30	sub_14002ed30	2048
0x14002f590	sub_14002f590	91
0x14002f810	sub_14002f810	87
0x14002f9df	sub_14002f9df	20
0x14002fa00	sub_14002fa00	318
0x140030180	sub_140030180	601
0x140030788	sub_140030788	2242
0x140032880	sub_140032880	2241
0x1400331a0	sub_1400331a0	119
0x1400332b4	sub_1400332b4	765
0x1400335f0	sub_1400335f0	66
0x140033830	sub_140033830	651
0x1400341b0	sub_1400341b0	1066
0x140034650	sub_140034650	507
0x140034870	sub_140034870	120
0x140035b70	sub_140035b70	2595
0x140036640	sub_140036640	113
0x1400373b0	sub_1400373b0	190
0x140037500	sub_140037500	149
0x1400377c0	sub_1400377c0	156
0x1400378e8	sub_1400378e8	42
0x140037b10	sub_140037b10	981
0x140038126	sub_140038126	746
0x140038440	sub_140038440	472
0x140038760	sub_140038760	1614
0x140038de0	sub_140038de0	66
0x140039150	sub_140039150	504
0x140039370	sub_140039370	163
0x140039820	sub_140039820	255
0x14003b2c0	sub_14003b2c0	99
0x14003b453	sub_14003b453	710
0x14003b830	sub_14003b830	545
0x14003c1ee	sub_14003c1ee	328
0x14003c6f0	sub_14003c6f0	605
0x14003ca30	sub_14003ca30	185
0x14003dd79	sub_14003dd79	2237
0x14003f410	sub_14003f410	148
0x1400404e0	sub_1400404e0	2033
0x140040d10	sub_140040d10	1952
0x1400414f0	sub_1400414f0	93
0x140041820	sub_140041820	85
0x140041f60	sub_140041f60	639
0x140042200	sub_140042200	72
0x140042450	sub_140042450	68
0x140042570	sub_140042570	85
0x1400425d0	sub_1400425d0	127
0x140042900	sub_140042900	86
0x1400429f0	sub_1400429f0	135
0x140042c10	sub_140042c10	85
0x140042dd0	sub_140042dd0	125
0x140042f43	sub_140042f43	39
0x140043107	sub_140043107	17
0x140043120	sub_140043120	66
0x140043170	sub_140043170	353
0x140043330	sub_140043330	37
0x140043360	sub_140043360	198
